row_id,value_date,post_date,details,ref_no_cheque_no,debit,credit,balance,bank_date,bank_amount,bank_debit,narration,bank_reference,transaction_type,is_credit,source,source_confidence,source_reason
1,2026-06-16,2026-06-16,CASH DEP/KIRAN SUPPLIERS,SBIN49395565,0.0,8430.0,258430.0,2026-06-16,8430.0,0.0,CASH DEP/KIRAN SUPPLIERS,SBIN49395565,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
4,2026-06-19,2026-06-19,WDL TFR/UPI/DR/627184932155/KIRAN,INDB42473221,63470.0,0.0,397584.97,2026-06-19,0.0,63470.0,WDL TFR/UPI/DR/627184932155/KIRAN,INDB42473221,UPI,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
6,2026-06-21,2026-06-21,BANK CHG/ORBIT OFFICE SOLUTIONS,AXIS63279296,52360.0,0.0,501457.61,2026-06-21,0.0,52360.0,BANK CHG/ORBIT OFFICE SOLUTIONS,AXIS63279296,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
8,2026-06-22,2026-06-22,ATM WDL/NOVA LOGISTICS/CHQ CASH,SBIN16323609,15624.0,0.0,597844.23,2026-06-22,0.0,15624.0,ATM WDL/NOVA LOGISTICS/CHQ CASH,SBIN16323609,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
10,2026-06-23,2026-06-24,DEP TFR/UPI/CR/748215639204/MEERA,SBIN64864856,0.0,6975.0,744251.73,2026-06-23,6975.0,0.0,DEP TFR/UPI/CR/748215639204/MEERA,SBIN64864856,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
12,2026-06-24,2026-06-24,CASH DEP/NOVA LOGISTICS,YESB37109976,0.0,66900.0,982304.43,2026-06-24,66900.0,0.0,CASH DEP/NOVA LOGISTICS,YESB37109976,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
13,2026-06-24,2026-06-25,CASH DEP/NOVA LOGISTICS/CTR,AXIS85820598,0.0,26375.0,1008679.43,2026-06-24,26375.0,0.0,CASH DEP/NOVA LOGISTICS/CTR,AXIS85820598,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
16,2026-06-26,2026-06-26,WDL TFR/IMPS/DR/7470/NOVA,ICICI62585311,7470.0,0.0,1475825.32,2026-06-26,0.0,7470.0,WDL TFR/IMPS/DR/7470/NOVA,ICICI62585311,IMPS,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
17,2026-06-26,2026-06-26,DEP TFR/NEFT/CR/ORBIT OFFICE SOLUTIONS,KKBK11648035,0.0,830.7,1476656.02,2026-06-26,830.7,0.0,DEP TFR/NEFT/CR/ORBIT OFFICE SOLUTIONS,KKBK11648035,NEFT,True,DIRECT_LEDGER,85.0,No Razorpay identifier; Customer name 'SOLUTIONS' found. points toward direct payment.
22,2026-07-01,2026-07-01,DEP TFR/NEFT/CR/DELTA MEDIA HOUSE,AXIS59176469,0.0,68475.0,1913308.06,2026-07-01,68475.0,0.0,DEP TFR/NEFT/CR/DELTA MEDIA HOUSE,AXIS59176469,NEFT,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
