row_id,value_date,post_date,details,ref_no_cheque_no,debit,credit,balance,bank_date,bank_amount,bank_debit,narration,bank_reference,transaction_type,is_credit,source,source_confidence,source_reason
1,2026-06-16,2026-06-16,CASH DEP/KIRAN SUPPLIERS,SBIN49395565,0.0,8430.0,258430.0,2026-06-16,8430.0,0.0,CASH DEP/KIRAN SUPPLIERS,SBIN49395565,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
2,2026-06-18,2026-06-18,DEP TFR/NEFT/CR/RZP/20260601INDB5362,AXIS358752,0.0,90364.27,348794.27,2026-06-18,90364.27,0.0,DEP TFR/NEFT/CR/RZP/20260601INDB5362,AXIS358752,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
3,2026-06-19,2026-06-19,DEP TFR/NEFT/CR/RZP/20260602HDFC3925,AXIS898855,0.0,112260.7,461054.97,2026-06-19,112260.7,0.0,DEP TFR/NEFT/CR/RZP/20260602HDFC3925,AXIS898855,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
4,2026-06-19,2026-06-19,WDL TFR/UPI/DR/627184932155/KIRAN,INDB42473221,63470.0,0.0,397584.97,2026-06-19,0.0,63470.0,WDL TFR/UPI/DR/627184932155/KIRAN,INDB42473221,UPI,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
5,2026-06-20,2026-06-20,DEP TFR/NEFT/CR/RZPY/20260603SBIN5181,RZP20260603SBIN5181,0.0,156232.64,553817.61,2026-06-20,156232.64,0.0,DEP TFR/NEFT/CR/RZPY/20260603SBIN5181,RZP20260603SBIN5181,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
6,2026-06-21,2026-06-21,BANK CHG/ORBIT OFFICE SOLUTIONS,AXIS63279296,52360.0,0.0,501457.61,2026-06-21,0.0,52360.0,BANK CHG/ORBIT OFFICE SOLUTIONS,AXIS63279296,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
7,2026-06-22,2026-06-22,DEP TFR/NEFT/CR/RZPY/20260604SBIN8779,RZP20260604SBIN8779,0.0,112010.62,613468.23,2026-06-22,112010.62,0.0,DEP TFR/NEFT/CR/RZPY/20260604SBIN8779,RZP20260604SBIN8779,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
8,2026-06-22,2026-06-22,ATM WDL/NOVA LOGISTICS/CHQ CASH,SBIN16323609,15624.0,0.0,597844.23,2026-06-22,0.0,15624.0,ATM WDL/NOVA LOGISTICS/CHQ CASH,SBIN16323609,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
9,2026-06-23,2026-06-23,DEP TFR/NEFT/CR/RZP/20260605AXIS2468,AXIS696212,0.0,139432.5,737276.73,2026-06-23,139432.5,0.0,DEP TFR/NEFT/CR/RZP/20260605AXIS2468,AXIS696212,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
10,2026-06-23,2026-06-24,DEP TFR/UPI/CR/748215639204/MEERA,SBIN64864856,0.0,6975.0,744251.73,2026-06-23,6975.0,0.0,DEP TFR/UPI/CR/748215639204/MEERA,SBIN64864856,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
11,2026-06-24,2026-06-24,DEP TFR/NEFT/CR/RZPY/06HDFC7308,06HDFC7308,0.0,171152.7,915404.43,2026-06-24,171152.7,0.0,DEP TFR/NEFT/CR/RZPY/06HDFC7308,06HDFC7308,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
12,2026-06-24,2026-06-24,CASH DEP/NOVA LOGISTICS,YESB37109976,0.0,66900.0,982304.43,2026-06-24,66900.0,0.0,CASH DEP/NOVA LOGISTICS,YESB37109976,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
13,2026-06-24,2026-06-25,CASH DEP/NOVA LOGISTICS/CTR,AXIS85820598,0.0,26375.0,1008679.43,2026-06-24,26375.0,0.0,CASH DEP/NOVA LOGISTICS/CTR,AXIS85820598,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
14,2026-06-25,2026-06-25,DEP TFR/NEFT/CR/RZPY/20260607SBIN8206,AXIS706077,0.0,247450.58,1256130.01,2026-06-25,247450.58,0.0,DEP TFR/NEFT/CR/RZPY/20260607SBIN8206,AXIS706077,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
